Name	Score	Pentamer count	Pentamer position	AU-block position	Sequence length
PKIB	6.4	4	71 302 306 386	115...212 222...279 291...499 524...694	695
ENAH	3.3	3	85 239 565	260...297 301...384 427...641 645...689	690
IGDCC3	0	0		274...341 583...628 636...667 1292...1445	1782
SLC9A3R1	0	0		113...164 442...487 494...542	697
GJB3	0	0		756...793	794
PCSK6	1	1	987	505...553 875...915 1033...1165 1287...1323	1324
FOXO6	1	1	538	674...708	709
RASEF	17.9	14	375 1475 1542 1569 1725 1912 2076 2399 2431 2653 2702 2782 2834 2915	232...374 375...425 582...852 1045...1165 1212...1311 1458...1498 1526...1699 1700...1811 1835...1939 2039...2181 2230...2307 2395...2746 2755...2816 2848...3087	3092
AURKA	1	1	638	108...143 449...524 687...767	768
EGR1	1.3	1	994	276...321 450...499 501...539 568...613 640...675 693...772 922...1046 1050...1174 1186...1233	1234
FAM208B	5.4	3	486 566 570	26...181 206...369 402...707	708
LONRF2	29.5	25	719 840 918 1672 2858 5352 5962 6423 6671 6980 7196 7547 7834 7909 7967 8011 8107 8189 8310 8405 8482 8733 9171 10263 10753	641...796 896...966 979...1013 1022...1109 1317...1646 1650...1803 1862...1967 2176...2256 2389...2428 2518...2567 2821...2983 2988...3194 3212...3299 3302...3487 3495...3533 3659...3705 4132...4165 4707...4771 4833...4878 5000...5041 5999...6044 6063...6103 7152...7191 7226...7272 7543...7606 7713...7781 7787...7890 7960...8029 8085...8149 8150...8277 8294...8453 8454...8501 9067...9102 9398...9443 9807...9928 10230...10260 10261...10332 10384...10423 10424...10460 10463...10650 10681...10734 10735...10924 10977...11006	11007
SLC12A2	26.6	19	473 695 705 803 809 835 898 917 937 1118 1277 1319 1400 1634 2587 2767 2865 2873 3045	107...149 281...331 334...552 603...651 677...863 896...1030 1031...1698 1824...1861 1982...2025 2057...2160 2179...2251 2280...2369 2381...2436 2443...2510 2511...2687 2688...2737 2741...3007 3031...3056	3057
ECM1	0	0			322
GIPR	1	1	35	491...536 624...663 771...814 1758...1788	1789
PALM2-AKAP2	10.1	8	84 560 801 1543 1560 1627 1946 3657	70...174 551...672 785...841 950...1016 1108...1166 1173...1223 1410...1453 1457...1679 1680...1939 2110...2154 2180...2215 2591...2702 2760...2797 2974...3020 3036...3071 3263...3325 3550...3770 3790...3839 3901...4014	4015
STON2	0	0			366
CD58	0	0		21...277	278
IL27RA	0	0		219...252 404...455 580...657 892...925	926
LITAF	2.6	2	965 1642	551...605 730...850 962...1089 1249...1328 1403...1477 1539...1635 1638...1675 1878...1910	1911
STON1	14.3	11	538 795 1135 1163 1240 1313 1335 1381 1436 2169 2849	158...202 203...270 416...457 522...560 561...600 604...642 668...724 755...882 889...1223 1224...1530 1531...1584 1708...1748 1858...1913 1940...1992 2154...2214 2313...2346 2399...2485 2796...3010 3031...3209	3210
TIAM1	6.2	5	243 345 661 824 1731	215...315 330...369 610...723 724...770 812...850 860...934 1207...1305 1317...1496 1564...1685 1831...1951	1952
AHNAK	0	0		10...56 236...283 308...364 365...404 709...838	839
CRY1	2.6	2	67 590	43...355 356...500 501...637	638
RTN4RL1	2.6	2	51 1056	45...91 720...801 828...941 1040...1100 1770...1818	1819
MSX2	1.3	1	335	242...385 396...564 575...631 652...717 746...896 910...1028 1038...1088 1216...1309	1310
FBXO36	2.3	2	937 1611	273...406 669...762 862...905 922...1007 1058...1240 1373...1456 1863...1981 1997...2224	2225
PBX1	8.5	7	342 419 830 2234 3058 3213 3393	317...405 1006...1053 1278...1362 1463...1514 1518...1580 1933...1980 2217...2289 2860...2895 3049...3143 3200...3305 3324...3442 3538...3612 3619...3842 3843...3926 4089...4238 4507...4661 4769...4922 4929...4970 4973...5016 5109...5154	5155
KLRC2	0	0		25...136	137
KIAA1549L	13.7	11	1057 1510 3347 3503 3561 3625 3729 3770 4303 4961 5565	323...355 527...589 865...929 1045...1101 1494...1557 1581...1622 1730...1837 2013...2217 2359...2439 2826...2948 2949...3051 3289...3319 3328...3371 3408...3446 3547...3619 3620...3791 3801...3838 4673...4719 4787...4881 4954...5026 5030...5077 5102...5180 5181...5223 5229...5260 5322...5392 5487...5559 5560...5593 5603...5654 5889...5943	5948
CNR1	15.15	11	622 729 2219 2253 2574 2729 2738 2744 2955 3598 3845	21...189 387...533 549...855 893...934 1004...1182 1217...1276 1289...1340 1472...1555 1887...1946 2243...2281 2369...2426 2451...2497 2516...2657 2658...2782 2866...2935 2951...3018 3257...3306 3308...3340 3360...3451 3585...3633 3634...3721 3741...3979	3980
AHR	11	9	752 764 815 2378 2445 2483 2771 2817 3020	23...85 124...223 270...528 550...1214 1246...1524 1525...1602 1725...1770 1902...1979 2082...2114 2242...2444 2459...2769 2919...3085	3086
ZFP36L2	6.9	5	845 854 902 1069 1090	194...297 298...360 524...588 594...647 828...1178 1200...1238 1292...1357 1451...1512 1513...1574 1580...1673 1778...1841 1866...1916	1917
ZNF711	6.5	5	25 188 1008 1051 1519	0...78 107...161 168...286 303...384 385...417 494...640 641...768 782...1030 1049...1116 1123...1469 1470...1531	1532
PTPRH	1.3	1	480	468...505	506
FBXO33	8.5	7	394 611 695 953 1304 1406 1437	0...163 300...339 345...420 426...735 939...977 1018...1080 1173...1237 1427...1514 1549...1583 1610...1691 1702...1846	1847
VSIR	2	2	2336 3619	1923...1990 2639...2687	3694
RBM38	1	1	234	644...718 791...825 1415...1486	1487
IRX3	0	0		43...110	189
KCNA4	10.8	8	46 115 384 419 519 553 564 963	37...195 203...295 329...372 373...609 610...730 732...778 831...917 918...975	976
DGKD	2.8	2	2502 2515	2180...2308 2497...2540 2595...2639	2640
ARID5A	0	0			1786
COQ10B	3.9	3	296 460 1083	132...251 281...430 441...486 590...625 759...798 799...868 879...925 1070...1383	1384
NMNAT2	5.6	5	487 964 1817 2544 2832	461...522 849...908 1112...1161 1177...1208 1495...1530 1682...1721 1866...2018 2180...2216 2823...2888 3772...3851 4245...4403	4404
RIMBP3	0	0		364...427 651...681	700
IFIT2	2.6	2	323 1320	62...118 311...421 780...840 882...1008 1068...1101 1105...1196 1311...1468 1481...1568 1570...1637 1813...1900	1901
KLF6	7.8	6	720 741 1181 1564 1933 2427	375...433 466...540 714...784 789...877 893...933 958...1022 1081...1259 1346...1395 1560...1953 2083...2148 2153...2236 2298...2337 2389...2473 2581...2636 2773...3000	3543
FAM169A	27.15	19	683 711 990 1360 1364 1481 1794 1868 2336 2486 2498 2795 2803 2880 2972 3171 3431 3586 3875	36...89 90...287 288...408 409...695 701...773 806...862 908...942 975...1015 1280...1314 1315...1572 1638...2089 2108...2145 2170...2204 2220...2273 2274...2614 2699...3001 3061...3110 3150...3238 3250...3429 3430...3527 3569...3645 3650...3885	3886
PIK3R3	5.9	5	525 595 1911 2891 3041	31...73 231...286 350...385 515...616 730...810 867...907 996...1057 1065...1104 1697...1774 1775...1812 1902...1935 1950...2005 2122...2188 2280...2340 3218...3334 3442...3478 3509...3532	3533
TAB1	1	1	1513	1601...1659	1660
NEK6	2.6	2	462 1115	423...520 524...567 917...992 1104...1154 1155...1210 1471...1553 1630...1660 2058...2093	2360
TPBGL	0	0		539...570	1499
KLF4	2.3	2	587 772	33...73 170...202 291...325 364...490 618...659 677...719 720...898	899
PGM2L1	28.6	22	496 526 609 622 747 757 923 977 1021 1181 1897 2261 2473 3401 3616 3703 4051 4247 4326 4583 4652 6102	107...578 602...677 679...713 744...973 990...1238 1342...1376 1504...1589 1717...1886 1887...1977 2178...2596 2724...2917 2973...3060 3146...3234 3260...3337 3359...3528 3529...3842 3866...3934 4041...4082 4218...4456 4531...4572 4582...4799 4879...4978 5204...5235 5364...5427 5544...5592 5621...5845 6110...6224 6249...6333	6334
FBXO40	7.9	7	404 718 1817 1834 2114 2976 3255	212...308 750...837 1147...1203 1229...1285 1412...1449 1752...1919 2338...2406 2552...2614 3241...3323	3385
SCUBE1	3.9	3	580 4723 4817	580...676 2608...2709 2836...2876 2978...3030 4715...4763 4774...4835 6618...6659 6664...6713	6714
PAQR4	0	0		871...905 1505...1533	1534
MAP2K6	7.8	6	98 244 375 390 476 531	84...118 169...281 284...322 338...522 523...610 706...779 794...891 957...993 1408...1451 1468...1549	1578
SCN1A	11.6	8	968 1039 1115 1198 1254 1258 1715 2041	0...53 417...510 604...647 777...844 869...930 945...1003 1036...1093 1094...1174 1244...1361 1380...1744 1761...1952 1961...2004 2011...2081	2082
IDS	19.8	16	190 255 374 447 811 900 1119 1132 3022 3116 3146 3872 4177 5517 5559 5580	168...428 429...775 811...840 841...887 914...1026 1031...1075 1080...1229 1230...1277 1278...1441 2078...2111 2846...3255 3322...3437 3540...3573 3705...3802 3817...3933 3946...4016 4117...4301 4306...4356 4487...4532 5627...5755	5756
TMEM140	1.3	1	844	839...875	1216
SOWAHB	1.3	1	507	425...460 482...539	540
ZCCHC12	1.3	1	272	259...344 403...514	515
FAM181B	4.6	4	353 1921 2148 2497	101...170 191...242 415...486 694...721 928...956 976...1018 1321...1357 1656...1800 1808...1971 2017...2143 2482...2507	2508
LRRC66	0	0		1...68 507...612 634...676	677
PROX1	34.9	26	445 467 852 1528 1647 1657 2280 2542 3321 3386 3475 3532 3600 3610 3683 3757 3886 3921 4070 4224 4420 4672 4815 4999 5012 5022	0...43 68...108 156...187 242...296 442...549 575...643 777...976 1053...1090 1121...1181 1306...1363 1527...1614 1643...1686 1901...2047 2235...2371 2373...2464 2534...2608 2671...2805 2815...2883 2890...3227 3249...3302 3318...3425 3426...3505 3522...3589 3590...3662 3663...3867 3875...3942 4056...4103 4154...4407 4428...4484 4589...4714 4764...4806 4807...5109 5110...5230 5242...5339 5386...5417	5418
HECW2	9.3	6	448 1153 1157 1209 1671 2012	245...302 390...500 650...873 924...994 1026...1077 1100...1242 1395...1458 1471...1605 1654...1783 1890...2025	2026
PPL	6.1	4	648 730 824 828	737...775 811...861	877
LAMB3	0	0		319...384	396
CDKN2D	1	1	302		457
PLSCR4	6.9	5	787 796 819 1694 1817	19...67 100...147 240...388 446...488 573...665 782...850 851...890 931...988 1011...1088 1108...1203 1218...1345 1346...1399 1400...1438 1489...1789 1790...2071	2072
MAP3K7CL	3.9	3	447 477 820	50...149 168...293 294...330 396...638 639...677 743...775 797...995	996
FAM110A	0	0			587
SLC43A3	2.8	2	760 773	220...256 581...627 749...835	836
ZNF891	53.6999999999999	41	85 1948 2822 2826 2987 3248 3692 3744 4253 4389 5533 5547 5723 5796 6045 6605 6622 7979 8275 8423 8738 8766 9050 9266 10078 10129 10494 10506 10524 10767 10787 10841 10866 11466 11504 12268 12348 12873 12877 13079 13326	97...318 468...561 646...681 709...759 882...921 1020...1086 1201...1245 1345...1396 1403...1627 1628...1728 1839...1903 1944...2009 2151...2184 2308...2487 2581...2709 2802...2906 2913...3026 3052...3115 3243...3278 3478...3559 3624...3672 3990...4030 4303...4354 4381...4474 4636...4748 4763...4922 5033...5071 5172...5290 5291...5367 5438...5482 5663...5709 5778...5834 5943...6005 6031...6071 6154...6208 6246...6272 6377...6420 6537...6707 6742...6803 6804...6995 6996...7106 7107...7243 7367...7407 7473...7587 7590...7667 7774...7808 7936...8020 8236...8645 8646...8736 8737...8805 8923...8972 9039...9151 9286...9354 9474...9515 9634...9673 9776...9820 9829...9979 9993...10062 10107...10169 10170...10217 10384...10459 10488...10707 10755...10889 10890...10922 10986...11034 11133...11186 11425...11548 11680...11747 11868...11972 12028...12119 12143...12182 12256...12379 12409...12496 12616...12833 12851...12928 13038...13161 13170...13236 13416...13466	13467
CYP19A1	0	0			294
BICDL1	0	0		819...854 1200...1286 1290...1332	1333
RASSF4	3.3	3	1100 1796 2186	1393...1434 2159...2283 2330...2375	2562
CH507-9B2.4	1	1	403	285...317	760
ZNF816-ZNF321P	1.3	1	56	10...99	428
HOXB5	2.3	2	376 626	178...238 307...357 363...431	952
FABP3	0	0		154...199	261
CCM2L	0	0			866
SOX9	10.4	8	151 485 645 715 1122 1282 1709 1846	85...175 365...563 604...725 728...858 1108...1224 1238...1487 1673...1922 1964...2032	2033
RALGAPA2	9.7	8	261 361 832 2057 2752 3259 3434 3447	361...409 831...867 886...960 1806...1836 2377...2463 2689...2744 3165...3288 3416...3476 3492...3546	3547
STAC2	1	1	328	984...1031	1756
C17orf100	2.6	2	667 909	125...153 438...522 589...624 656...689 737...818 870...1055 1141...1202	1203
IER3	7.9	6	239 266 276 318 381 723	232...298 305...352 705...736	737
ATP6AP1L	0	0		97...169 465...502	503
IL17D	0	0		379...597 775...825 1049...1143	1144
CEBPD	0	0		186...253 258...338 339...399	402
LIMA1	11.5	9	104 386 463 478 497 550 713 1164 1174	22...48 126...261 330...597 783...815 930...1128 1164...1273	1274
TSPYL2	1	1	246	123...180	601
ABTB2	2.3	2	1079 1164	1151...1186 1238...1272 1280...1398	1399
JUND	1	1	426	357...423 480...533 580...623	681
CHRNB1	1	1	194	424...460 586...605	606
ZFP36	6.5	5	252 493 508 533 631	234...273 490...560 562...712	713
MYOF	3.9	3	271 440 490	188...270 271...317 324...365 366...532	533
CAMK2B	0	0		136...198 201...292 2095...2121 2298...2346	2375
TMEM47	12.4	10	119 362 894 968 1231 1343 1672 2700 2866 3024	58...104 112...152 162...233 234...286 823...861 875...1292 1385...1578 1587...1662 1663...1750 1751...2017 2053...2155 2324...2361 2384...2682 2685...2841 2864...2904 2951...3115 3160...3248	3249
CCDC77	2	2	24 256	109...143 626...724	725
ZC3H12A	0	0		678...723 732...767	768
MFSD2A	0	0		261...392	398
VANGL2	2.3	2	602 1262	99...137 937...974 1244...1296 1297...1340 2032...2102 2159...2256 2648...2705 3033...3097 3126...3298	3300
MAP3K8	1.3	1	123	40...143	144
STC1	9.95	7	396 561 822 2582 2589 2600 2658	81...181 381...464 619...671 672...789 790...913 933...983 1434...1494 1803...1861 2243...2303 2330...2427 2553...2624 2644...2853	2855
KLHDC8B	0	0			685
LYST	6.9	6	351 797 1262 1447 1659 1753	111...301 362...431 456...535 536...612 689...764 927...1107 1248...1369 1535...1898	1899
SOX12	0	0		1638...1740 2196...2269 3322...3351	3352
EEPD1	0	0		86...122 477...523 1276...1365 2091...2188 2263...2336	2337
SLC16A9	7.5	6	335 594 919 1084 1354 1474	14...183 184...218 254...293 302...343 533...616 938...995 1054...1228 1265...1400 1459...1531 1583...1680 1741...1925 1965...2006	2007
GRHL1	4.9	4	167 248 317 1268	211...292 310...348 591...854 972...1176 1181...1256 1257...1335 1381...1569	1570
ATP8B4	6.2	5	10 300 460 666 953	232...351 364...402 443...486 584...621 651...697 734...806 833...1200 1280...1420 1464...1503 1680...1810 1892...1954	1955
EGR2	2.6	2	766 790	575...625 700...857 909...951 954...1094 1103...1210	1211
GPRC6A	0	0			30
JAKMIP1	1	1	166	36...128	173
FBLL1	0	0		50...124	125
CACNA1H	1.3	1	764	669...718 747...770	771
PDGFD	11.6	9	211 407 420 725 1032 1083 1124 1365 2106	198...326 381...574 654...718 747...839 927...1026 1027...1062 1069...1253 1329...1399 1511...1579 1638...1677 1806...1877 1997...2061 2092...2195 2267...2318 2331...2507	2508
EFNA1	0	0		682...719 735...789	790
ZYX	0	0		391...426	427
SPON1	6.5	5	77 664 1311 1734 2015	64...122 628...742 852...968 1002...1114 1310...1395 1420...1532 1553...1588 1668...1769 1913...2152	2197
LXN	0	0		89...231	232
GMIP	1.3	1	143	128...166	487
SMOX	0	0		279...310	340
LDLR	3.9	3	114 679 2231	97...137 668...702 855...891 1228...1262 1401...1445 1573...1606 1708...1746 1874...1925 2181...2257 2319...2358 2469...2499	2500
KLHL21	4.9	4	1091 2416 2448 2542	2381...2474 2532...2576 2610...2640	2641
ASTN2	0	0		335...361	362
ZNF254	12.45	9	287 453 1061 1119 1568 1574 1704 1757 1931	26...87 105...244 287...359 367...557 558...1142 1143...1177 1198...1430 1504...1908 1920...1980	1981
ZNF516	19.15	13	249 528 862 2052 2608 2632 2636 3044 3259 3267 4136 4192 4244	186...264 272...310 523...562 844...881 1219...1260 1296...1516 1649...1782 1811...2006 2044...2088 2181...2227 2579...2658 2760...2832 3020...3096 3224...3255 3256...3300 4104...4307	4308
PI15	33.05	25	371 872 945 1086 1561 1960 2037 2230 2249 2355 2459 2624 2631 3298 3380 3476 3756 4074 4192 4629 4707 4717 4872 5029 5535	46...495 496...597 598...640 641...673 674...713 735...783 798...868 912...943 1068...1133 1461...1622 1623...1798 1824...1890 1899...2226 2227...2330 2338...2380 2381...2485 2486...2584 2607...2772 2854...2969 2970...3046 3047...3243 3287...3350 3376...3513 3531...3602 3689...4277 4348...4386 4394...4462 4463...4533 4569...5171 5224...5369 5425...5638 5673...5701 5711...5775	5776
DUSP14	3.6	3	132 481 520	123...158 184...294 503...580 583...631	632
VLDLR	1.3	1	487	147...213 381...445 470...543 559...611	612
VEGFC	1.3	1	259	25...56 229...387	388
ELAVL2	20.9	16	20 435 492 513 768 798 808 978 1011 1287 1424 1611 1915 2065 2296 2364	15...108 131...220 294...337 396...547 557...613 641...790 791...867 946...1034 1103...1237 1241...1320 1327...1779 1863...1973 2090...2174 2295...2452	2453
KLF2	3.6	3	81 249 685	235...271 345...413 432...519 674...713 718...764 802...842	843
PPP1R3B	10.55	8	844 1415 1707 3479 3551 3612 3702 3707	616...656 921...950 1055...1093 1227...1390 1460...1577 1688...1726 1940...2096 2169...2207 2276...2399 2400...2436 2451...2509 2552...2645 2769...2883 3459...3500 3524...3643 3698...3795 3804...3920 4350...4436 4501...4538	4539
SDC4	3.9	3	624 781 883	559...591 616...709 772...837 838...907 951...985 1036...1089 1099...1203 1412...1472 1925...1975	1976
RIMBP2	1.3	1	599	288...364 555...614	615
SLC1A2	31.9	24	545 817 821 1074 2782 2793 2908 2934 3010 3594 3791 4721 4914 4957 5955 6911 6936 6970 7049 7152 7199 8126 8280 9228	60...132 207...250 556...614 677...844 850...975 1058...1153 1219...1250 1325...1369 1409...1491 1508...1605 1816...1877 1917...1970 2096...2155 2636...2721 2777...2815 2880...3035 3208...3322 3497...3533 3868...3916 4192...4253 4257...4299 4317...4378 4459...4520 4593...4712 4810...4840 4899...5149 5374...5413 5443...5501 5882...5940 5941...6018 6036...6088 6535...6571 6642...6730 6866...7283 7284...7358 7413...7513 7600...7675 7696...7735 7748...7784 7920...7956 7957...7998 8109...8184 8187...8255 8262...8334 8972...9015 9187...9277 9301...9346 9401...9668	9669
SGK1	6.5	5	562 605 774 856 1011	13...71 187...224 480...515 546...712 732...946 992...1015	1016
LMOD1	0	0		691...742 1831...1863 1869...1919	1920
FHL2	2.6	2	306 377	37...68 216...251 253...398	457
PDGFB	1.3	1	32	28...60	407
METTL7B	0	0		517...561	562
FAM161A	8.75	6	841 847 1116 1376 1389 1512	189...270 271...460 494...529 628...665 794...1100 1104...1139 1145...1374 1375...1423 1424...1510 1511...1598	1599
RNF19B	2.6	2	85 227	43...121 165...198 211...259 293...360	361
NAIP	6.5	5	372 546 635 1345 1589	44...186 359...446 532...585 619...811 823...910 1090...1128 1261...1339 1340...1504 1548...1620	1621
KCTD13	1	1	277		519
SPATA12	0	0		272...329 353...421 1131...1164	1165
CTC-435M10.3	0	0			393
RNF112	0	0		809...889 1056...1100	1101
ZFPM1	1.3	1	2011	159...192 976...1017 1140...1182 1354...1394 1958...1993 2004...2036	2037
FGFR2	0	0			170
TANK	8.55	6	91 137 314 426 434 560	36...653	654
RCAN1	2.6	2	523 763	510...593 759...815 820...847 963...1021 1204...1453 1532...1589	1600
RTN4RL2	1.3	1	597	581...622	623
LMO2	2.3	2	273 584	565...636 648...779	780
NAB2	3.9	3	489 710 735	470...512 697...754	755
MMACHC	8.5	7	21 1475 2408 2430 2748 3363 3988	76...147 190...239 357...406 853...894 1292...1342 1775...1912 2027...2079 2219...2248 2352...2570 2727...2774 2836...2897 3314...3387 3764...3811 3917...4030 4130...4166	4167
KIT	3.3	3	1341 1405 1611	57...96 316...367 482...521 604...652 668...725 802...917 1093...1157 1395...1435 1436...1505 1851...2000 2001...2083 2119...2157	2158
AVPI1	0	0		424...444	445
ZNF827	8.8	7	30 1780 1988 2194 2231 2315 2472	867...922 977...1043 1698...1819 1846...1883 1906...2036 2118...2169 2179...2256 2288...2415 2417...2500 2558...2642 3005...3079 3080...3128 3355...3547 3624...3744 3751...3869 3937...3988	3989
SHH	10.1	8	261 343 650 861 987 1160 1274 2631	96...149 185...259 260...317 328...374 532...681 776...905 948...1056 1058...1093 1152...1199 2198...2237 2620...2668 2880...2913	2914
MAML3	0	0		34...77 78...112 1267...1303 1350...1388 1934...2036 2116...2246 2247...2343 2357...2396 2404...2569	2570
NFKBIZ	3.9	3	120 627 1158	102...219 304...422 504...712 734...836 965...1003 1144...1347 1379...1602 1614...1650	1651
RAB20	1.3	1	507	502...561 565...598	599
DISP1	0	0			23
SERTAD1	2.3	2	451 1069	291...329 373...411 444...481 545...596 681...733 828...870 966...1022 1023...1054 1208...1243	1244
LGR5	8.5	7	231 373 1045 1246 1309 1350 1430	101...346 558...642 662...728 738...775 852...985 1113...1575	1576
MARVELD3	0	0		255...288 389...424 551...588 896...937	938
PTGES3L	0	0		335...369 383...460 583...631 759...797 899...1059	1060
HS6ST2	7.5	6	332 498 623 1053 1547 2172	103...251 259...537 538...574 609...766 901...1120 1160...1217 1255...1434 1663...1803 1804...1945 1964...2004 2037...2143 2158...2206	2207
ARHGEF39	4.9	4	382 529 589 2201	375...444 560...652 2184...2222 2249...2277	2278
ETV4	0	0			673
AKAP2	10.1	8	84 560 801 1543 1560 1627 1946 3657	70...174 551...672 785...841 950...1016 1108...1166 1173...1223 1410...1453 1457...1679 1680...1939 2110...2154 2180...2215 2591...2702 2760...2797 2974...3020 3036...3071 3263...3325 3550...3770 3790...3839 3901...4014	4015
STAT3	5.2	4	572 952 1969 2316	108...160 161...198 199...238 330...369 498...595 697...733 865...918 950...978 1052...1125 1791...1834 1942...1991 2299...2420	2421
CORO1C	3.6	3	198 1525 2080	186...342 343...382 383...515 516...596 808...935 1811...1932 1961...2004 2067...2102 2143...2191 2262...2293	2294
CASP1	0	0		74...111	112
PHC2	0	0		219...254 1190...1238	1239
UBXN10	3	3	553 2552 4542	616...666 793...860 1545...1596 1984...2117 2342...2388 3142...3180 3301...3502 3658...3709 4095...4155 4332...4426 4446...4515	4644
ANXA2R	3.9	3	198 285 374	63...160 172...383	384
SPHK1	0	0			274
XAF1	3.6	3	810 885 2213	17...62 174...232 241...298 458...494 540...596 637...676 689...808 809...923 1255...1312 1362...1439 1481...1514 1863...1910 2247...2325	2478
ST3GAL6	2.6	2	161 317	24...117 147...262 263...391 543...600	601
MIP	10	7	683 886 1000 1004 1461 1516 1623	93...194 813...850 989...1116 1171...1256 1446...1549 1595...1648 1693...1776	1778
KRT36	1	1	198		240
FDX1	11.7	9	484 526 750 1166 1823 1840 2123 2199 2305	2...92 104...361 465...620 627...816 984...1042 1043...1228 1270...1459 1604...1643 1782...1865 1977...2007 2122...2151 2168...2267 2268...2412	2413
FAM131C	0	0			668
DAND5	0	0		220...262 389...429 477...520 644...698 883...937	1128
KCNC3	2	2	1677 1698	254...315 464...501 1587...1638	3091
CASC10	1.3	1	2595	74...121 382...462 1795...1843 1873...1923 2048...2093 2188...2260 2277...2345 2375...2414 2466...2650 2785...2864	2942
FAM212B	7	6	2837 3383 4019 4191 4201 4310	1045...1083 1213...1252 2614...2648 4184...4229 4878...4903	4904
AQP11	1.3	1	666	43...82 143...316 366...419 494...538 539...608 614...705 728...777 884...977	978
INPP1	0	0		119...234 235...262	263
TAS2R7	0	0		28...81	82
ENO2	9.7	4	489 493 497 501	261...293 479...558	896
PTGS2	32.45	22	15 19 23 46 54 64 477 641 778 946 1091 1420 1511 1636 1728 1753 1770 1962 2108 2186 2456 2511	0...126 195...800 804...998 1046...1211 1309...1361 1432...1558 1628...1879 1880...1995 2104...2143 2144...2407 2446...2561	2562
RAB11FIP4	0	0			117
NPAS4	0	0		175...206 686...717	718
C5orf56	0	0		65...111	112
DUSP1	6.7	4	102 106 370 563	97...128 345...397 429...671	672
NFKBID	0	0		1028...1063 1165...1200 1326...1354	1355
PPFIBP1	6.7	5	218 247 261 2050 2613	192...306 385...442 469...563 659...838 957...993 1089...1148 1289...1330 1471...1513 1521...1761 1763...1875 1950...2234 2235...2268 2396...2437 2537...2644 2654...2681	2682
FAM49A	14.7	12	59 90 579 964 1074 1585 2092 2305 2376 2803 3121 3468	39...119 120...159 271...391 567...659 963...1030 1088...1197 1275...1313 1733...1775 1849...1883 2004...2120 2302...2357 2609...2667 2728...2863 2905...2978 3010...3183 3234...3317 3380...3476	3477
PCK1	3.9	3	254 464 723	139...178 240...376 420...503 516...618 619...700 706...739 1297...1368 1933...1967 2171...2216	2308
KBTBD11	17.4	14	450 486 546 734 744 1069 1126 1234 1575 1756 2096 2264 3694 3766	443...517 533...628 691...818 886...1014 1015...1051 1114...1186 1197...1306 1396...1443 1464...1513 1765...1817 1820...1876 1881...2008 2204...2245 2254...2334 3076...3154 3303...3495 3682...3727 3752...3811	3872
NPR3	24.85	19	267 412 636 1178 1200 2181 2397 2452 2488 2652 2812 3299 3687 3889 4779 5014 5142 5147 5241	86...180 191...317 343...484 607...824 825...877 925...1036 1064...1116 1165...1294 1421...1460 1538...1601 1842...1897 2096...2244 2247...2608 2716...2791 2795...2851 3000...3034 3142...3197 3283...3320 3673...3710 3870...3909 4300...4332 4335...4410 4472...4532 4552...4632 4662...4702 4797...4837 4998...5099 5100...5327 5340...5378	5379
BCL7A	0	0		1374...1452 1619...1660 1719...1741	1742
BCAR1	2.6	2	150 451	136...166 401...480	481
FAM220A	3.3	3	281 530 786	11...86 127...169 189...243 451...513 553...605 761...965	966
P2RY2	2	2	938 955	1018...1058	1059
GNG4	1.3	1	336	155...454 524...580 708...748	1277
WNT9A	8	5	1055 2058 2393 2790 2794	1023...1097 2035...2080 2362...2459 2470...2514 2780...2819 2822...2861	2862
IER5L	3.6	3	216 1065 1253	135...214 241...287 608...645 1049...1102 1237...1285	1286
GPRC5A	5.4	5	716 983 992 4017 4207	197...260 278...322 1039...1092 1579...1654 1917...1952 2240...2279 2443...2515 2638...2682 2714...2757 2771...2859 3115...3159 3454...3523 4097...4135 4800...4847 4997...5037 5360...5397	5398
CACNG2	2.6	2	364 379	97...429	430
IL20RA	8.8	7	276 518 686 757 789 1015 1416	114...163 369...449 514...566 605...710 711...889 894...1087 1094...1335 1401...1586	1587
CXorf40A	0	0		88...125 319...346	347
TGFBR1	12.1	10	389 735 1128 1388 1469 1751 1871 2226 2561 3885	120...164 231...315 362...430 482...657 710...981 982...1046 1073...1181 1183...1262 1378...1413 1530...1586 1777...2135 2165...2447 2468...2600 3170...3209 3327...3395 3594...3785 3799...3881 3892...3936 3937...4173 4198...4352	4353
RGCC	2.3	2	175 276	234...396	397
CLIP2	0	0			2082
MIDN	2.3	2	864 1599	118...186 617...691 861...902 1238...1281 1372...1456 1496...1566 1610...1658 1783...1837 1840...1867	1868
GALNT9	0	0			598
CD200	8.5	7	730 755 1011 1037 1075 1512 1547	739...800 1036...1152 1185...1273 1362...1468 1475...1610	1611
LINGO1	0	0		268...373	374
IL18	0	0		125...167 290...344	345
ITGA6	9.1	7	68 187 227 646 776 1227 1785	8...39 53...91 185...263 617...703 726...755 761...866 883...1038 1164...1206 1224...1277 1278...1379 1390...1461 1491...1627 1700...1742 1780...1828 1831...2029	2030
SALL2	1.3	1	1430	1137...1184 1426...1472 1599...1622	1623
CCND1	9.1	7	1398 1423 1457 1481 1546 1813 2667	171...256 303...374 401...538 585...632 841...922 978...1048 1247...1290 1372...1449 1451...1516 1533...1648 1748...1835 2047...2233 2475...2526 2601...2704 3158...3191	3192
